space_number,year,label,space_type,effect,red_cycle_effect,blue_cycle_effect
17,2022,The Podcast Era,Tech Leap,"Gain 1 Influence and lose 1 Sanity.","Gain +1 Influence.","Lose no Sanity if Influence is 5+."
18,2022,Secret Door In The Feed,Square & Compass,"Draw one Conspiracy card.","Move forward 1 after resolving.","Control rises by 1 after resolving."
19,2023,Bank App Sweats,Market Crash,"Market rises by 1. Lose 1 Money if Market is already 4+.","Gain 1 Money if you are The Crypto Bro.","Lower Market by 1 if you discard a Survival card."
20,2023,Everything Is A Subscription,Timeline,"Lose 1 Money or 1 Sanity.","Lose Money.","Lose Sanity."
21,2023,Celebrity Apology Loop,Scandal,"Draw one Scandal card.","Gain 1 Influence if you have Influence 3 or less.","Lose 1 Influence if you have Influence 6+."
22,2023,AI Demo Day,Tech Leap,"Choose: gain 1 Influence or move forward 2 and lose 1 Money.","Gain 1 Money if you choose Influence.","Gain +1 Influence if you choose Influence."
23,2023,Square And Compass,Square & Compass,"Draw one Conspiracy card.","Panic rises by 1.","Control rises by 1."
24,2023,Offline Weekend,Awakening,"Recover 2 Sanity but skip any Influence gain this turn.","Recover 1 Freedom too.","Lower Panic by 1 too."
25,2024,Election Year,Election Year,"Apply current cycle effect, then switch cycles.","Gain 1 Freedom. Panic rises by 1.","Gain 1 Influence. Control rises by 1."
26,2024,Deepfake Debate,Breaking News,"Draw one Headline card.","Lose 1 Sanity if Influence 5+.","Lose 1 Influence if Sanity 3 or less."
27,2024,Polling Error Portal,Timeline,"Move forward 1 or backward 1. Your choice.","If backward, gain 1 Money.","If forward, gain 1 Influence."
28,2024,Media Meltdown,Scandal,"Draw one Scandal card.","Panic rises by 1.","Control rises by 1."
29,2024,The Timeline Glitches,Square & Compass,"Draw one Conspiracy card.","Switch places with the player behind you if any.","Switch places with the player ahead of you if any."
30,2024,Victory Speech Confusion,Timeline,"Everyone gains 1 Influence and loses 1 Sanity.","Gain 1 Freedom.","Control rises by 1."
31,2025,New Normal DLC,Timeline,"Recover 1 of any stat.","Recover Money or Freedom.","Recover Sanity or Influence."
32,2025,Smart Fridge Snitches,Tech Leap,"Gain 1 Influence but Control rises by 1.","Gain 1 Money too.","Control rises by +1 more."
33,2025,Global Summit Photo Op,Breaking News,"Draw one Headline card.","Gain 1 Money if Control is 3+.","Gain 1 Influence if Control is 3+."
34,2025,Scandal Weather System,Scandal,"Draw one Scandal card.","Panic rises by 1 if you lose Influence.","Control rises by 1 if you lose Influence."
35,2025,Community Garden Patch,Survival Check,"Draw one Survival card or lower Market by 1.","Gain 1 Freedom.","Lower Panic by 1."
36,2025,Conspiracy Corkboard,Square & Compass,"Draw one Conspiracy card.","Gain 1 Influence if Panic is 4+.","Gain 1 Sanity if Control is 4+."
37,2026,Attention Recession,Timeline,"Lose 1 Sanity or 1 Influence.","Lose Sanity.","Lose Influence."
38,2026,Market Optimism Mirage,Market Crash,"Gain 1 Money, then Market rises by 1.","Gain +1 Money.","Market rises by +1 more."
39,2026,AI Replaces The Meeting,Tech Leap,"Move forward 1 and gain 1 Sanity.","Gain 1 Money.","Gain 1 Influence."
40,2026,Square And Compass,Square & Compass,"Draw one Conspiracy card.","Panic rises by 1.","Control rises by 1."
41,2027,The Wellness Pivot,Awakening,"Recover 1 Sanity and draw one Survival card.","Recover Freedom too if Freedom is 3 or less.","Gain Influence too if Influence is 3 or less."
42,2027,Subscription Apocalypse,Market Crash,"Lose 1 Money or discard a Survival card.","Gain 1 Money if you have no held cards.","Lower Market by 1 if you discard."
43,2027,Public Apology Speedrun,Scandal,"Draw one Scandal card.","Gain 1 Influence if you pay 1 Money.","Lose 1 Sanity if you do not pay 1 Money."
44,2027,Drone Footage Goes Viral,Breaking News,"Draw one Headline card.","Gain 1 Influence.","Gain 1 Influence."
45,2027,Digital Detox Dare,Awakening,"Lose 1 Influence and recover 2 Sanity.","Recover 1 Freedom too.","Lower Panic by 1 too."
46,2027,Ancient Tablet Update,Square & Compass,"Draw one Conspiracy card.","Move forward 1 if Sanity is 5+.","Recover 1 Sanity if Freedom is 5+."
47,2028,Election Year Again,Election Year,"Apply current cycle effect, then switch cycles.","Gain 1 Money. Panic rises by 1.","Gain 1 Influence. Control rises by 1."
48,2028,Policy Patch Notes,Timeline,"Control rises by 1. Recover 1 Money.","Recover +1 Money.","Recover 1 Sanity."
49,2028,Everything Is Historic,Breaking News,"Draw one Headline card.","Panic rises by 1.","Control rises by 1."
50,2028,Social Credit Oops,Scandal,"Draw one Scandal card.","Lose 1 Influence if Control is 4+.","Lose 1 Freedom if Control is 4+."
51,2028,Off Grid Rumour,Survival Check,"Draw one Survival card.","Recover 1 Freedom.","Recover 1 Sanity."
52,2028,Reality Patch Failure,Square & Compass,"Draw one Conspiracy card.","Panic rises by 1.","Panic rises by 1."
53,2029,Final Boss Inflation,Market Crash,"Lose 1 Money. Market rises by 1.","Gain 1 Freedom if Money remains above 3.","Gain 1 Influence if you lower Market this turn."
54,2029,AI Campaign Manager,Tech Leap,"Gain 2 Influence but lose 1 Sanity.","Gain 1 Money too.","Control rises by 1."
55,2029,Last Scandal Before 2030,Scandal,"Draw one Scandal card.","Panic rises by 1.","Control rises by 1."
56,2029,The Algorithm Apologizes,Breaking News,"Draw one Headline card.","Recover 1 Sanity if Panic is 4+.","Recover 1 Freedom if Control is 4+."
57,2029,Touch Grass Finale,Awakening,"Recover 1 Sanity and 1 Freedom.","Gain 1 Money.","Gain 1 Influence."
58,2029,Square And Compass,Square & Compass,"Draw one Conspiracy card.","Move forward 1 after resolving.","Lower one meter by 1 after resolving."
59,2030,Almost Made It,Timeline,"All players check stats. If any stat is 0, enter NPC Mode before finishing.","Gain 1 Freedom.","Gain 1 Sanity."
60,2030,You Survived The 2020s,Finish,"Win if every stat is at least 1. Otherwise enter NPC Mode and try again.","Award Survivor Ending or Bunker Ending.","Award Survivor Ending or Awakened Ending."
